,timbre_median_1,timbre_median_2,timbre_median_3,timbre_median_4,timbre_median_5,timbre_median_6,timbre_median_7,timbre_median_8,timbre_median_9,timbre_median_10,timbre_median_11,timbre_median_12
168,49.94,51.069,17.806,2.541,20.522,-13.934,-1.835,-4.202,-11.478,0.766,-10.639,8.306
169,50.9555,32.181,27.85,-3.948,49.701499999999996,-25.987000000000002,0.8320000000000001,-2.1955,-3.4844999999999997,1.0005,-13.319500000000001,-1.8860000000000001
170,51.185,44.17,-2.729,-0.031,20.853,-10.905,5.237,1.897,-10.611,1.621,-17.991,2.969
171,51.814499999999995,39.8185,7.019500000000001,-11.1415,21.2365,-30.7295,16.4155,3.341,1.8085,2.481,-12.8235,-10.343
172,36.9865,2.899,-38.2575,-20.1115,-0.8554999999999999,-20.445999999999998,-16.5525,-8.3515,-11.565,-0.8594999999999999,-6.217499999999999,-7.862
173,46.1105,-17.583,-30.77,0.722,15.1995,-25.1935,-7.5455000000000005,-3.9029999999999996,0.188,1.7814999999999999,-7.0815,3.6159999999999997
174,53.91,56.302499999999995,6.0425,-4.3925,27.012,-35.8255,7.098,4.4415,-1.7835,5.8095,-7.8004999999999995,3.955
175,53.8795,71.182,25.993000000000002,-0.0365,28.9795,-37.0775,24.5515,8.1685,-6.9855,4.5600000000000005,-12.383,3.0545
176,45.477,-10.223,-6.211,3.142,30.329,-12.802,-2.169,-0.695,1.019,-0.682,-6.887,3.633
177,44.57,-29.007,-18.644,-2.28,36.73,-21.609,-0.75,5.02,-7.676,2.956,-7.823,-0.478
178,50.817,74.544,7.65,0.041,4.271,-16.333,1.732,6.313,-24.024,1.197,-13.84,-9.534
179,52.4805,70.8835,34.457499999999996,-3.846,19.032,-33.23,14.224,3.4684999999999997,-9.6795,0.5965,-9.4275,-1.2639999999999998
180,47.205,37.0015,-21.144,-3.7155,15.437,-26.9155,4.231,7.5755,-1.044,5.3454999999999995,-11.716999999999999,-3.7430000000000003
